,index,designation,distance,magnitude,absoluteMagnitude,scaledMagnitude,spectralType,spectralColor,colorIndex,xCoord,yCoord,zCoord,constellation,luminosity
0,0,Sol,0.0,-26.7,4.85,0.14952,G,16702104,0.6559999999999999,5e-06,0.0,0.0,,1.0
25,25,9077.0,81.367,6.28,1.7280000000000002,0.18073999999999998,G,16702104,0.763,58.24309399999999,0.08087899999999999,-56.818381,Phe,17.733726245425586
34,34,9078.0,74.6269,6.43,2.066,0.17736000000000002,F,16773591,0.514,66.54131,0.11565399999999999,33.784832,Peg,12.989726288978545
43,43,9079.0,136.2398,6.18,0.508,0.19294,G,16702104,1.032,69.024292,0.155048,117.45988999999999,Cas,54.550658817037316
63,63,9080.0,187.9699,6.36,-0.01,0.19812000000000002,B,9214460,-0.047,132.325125,0.419892,133.501154,And,87.90225168308842
88,88,Tau Phe,181.8182,5.71,-0.588,0.2039,G,16702104,0.9109999999999999,119.736878,0.5623560000000001,-136.823418,Phe,149.69248567600363
106,106,9083.0,199.6008,6.22,-0.281,0.20082999999999998,G,16702104,0.97,128.34788400000002,0.7397199999999999,152.861641,Cas,112.82361216489923
107,107,9082.0,166.3894,5.53,-0.5760000000000001,0.20378,M,16541255,1.615,106.198875,0.618768,-128.089244,Phe,148.04713248976262
112,112,GJ 1293,32.1234,10.76,8.226,0.11575999999999999,M,16541255,1.3840000000000001,30.727669,0.191824,-9.364349,Cet,0.04462723707622519
122,122,The Oct,66.5779,4.78,0.6629999999999999,0.19139,K,16623706,1.254,14.902031,0.103716,-64.888859,Oct,47.29334149186517
145,145,29    Psc,139.2758,5.13,-0.589,0.20390999999999998,B,9214460,-0.128,139.077212,1.106982,-7.355907000000001,Psc,149.830421062266
148,148,Wo 9848,45.5166,11.26,7.968999999999999,0.11833,K,16623706,0.932,40.907216,0.341175,19.956055,Peg,0.056545754068762076
150,150,NN 4388,121.5067,7.04,1.617,0.18184999999999998,K,16623706,1.06,96.741905,0.810996,-73.513429,Scl,19.642646458798552
154,154,30    Psc,132.4503,4.37,-1.24,0.21041999999999997,M,16541255,1.631,131.716394,1.126662,-13.877167000000002,Psc,272.8977782808041
169,169,GJ 1294A,15.328,9.24,8.312999999999999,0.11489,M,16541255,1.39,5.67201,0.053101,-14.239841,Tuc,0.041190778486773716
